Address,Beds,Baths,House Size,Lot Size,Type,Price
"10 Robin Dr, Fredericton, New Brunswick, E3C 1K6",5,2,1600,0.177,"
            Residential
        ",259900
"03-2 Glebe Rd, Saint Andrews, New Brunswick",,,,1.14,"
            Residential
        ",11400
"62 Parkin Street, Salisbury, New Brunswick, E4J 2N3",3,2,3790,0.85,"
            Residential
        ",549900
"14 Murray Lane, St. Andrews, New Brunswick",4,2,2200,1.15,"
            Residential
        ",449500
"140 Orleans St., Dieppe, New Brunswick, E1A 1W9",4,3,2808,0.124,"
            Residential
        ",236900
"41 Eagle's Passage, Greater Saint Andrews, New Brunswick",3,3,2160,1.0,"
            Residential
        ",794997
"7725 Rte 515, Saint-Paul, New Brunswick",2,1,1350,1.0,"
            Residential
        ",80000
"133 Daigle Rd., Pointe - Sapin, New Brunswick",4,2,2168,0.99,"
            Residential
        ",169900
"93 Principale, Memramcook, New Brunswick, E4K 1A7",5,4,5286,6.2,"
            Residential
        ",799900
"294 Carleton St, Saint Andrews, New Brunswick",2,2,1592,0.11,"
            Residential
        ",259000
"624 Royal Oaks Boulevard, Moncton, New Brunswick, E1H 3S7",2,2,1232,0.134,"
            Residential
        ",264900
"3574 Route 127, Saint Andrews, New Brunswick",,,,11.0,"
            Residential
        ",110000
"517 Canal Rd, St. George, New Brunswick, E5C 1H6",3,2,1560,3.8,"
            Residential
        ",298000
"13 Bulmer Lane, Sackville, NB, Sackville, New Brunswick, E4L 3R3",3,1,1214,0.4,"
            Residential
        ",134900
"175 Daigle Rd, Pointe - Sapin, New Brunswick",1,,880,2.5,"
            Residential
        ",74900
"1 Baie Vista CRT, Shediac Cape, New Brunswick, E4P 2Y7",3,2,3440,,"
            Residential
        ",475500
"5185 Route 127, St. Andrews, New Brunswick",4,2,1675,1.17,"
            Residential
        ",259000
"30 Berkley Drive, Riverview, New Brunswick, E1B 2L6",4,3,1735,869.0,"
            Residential
        ",239900
"Lot 07-02 Comeau Point Rd, Shemogue, New Brunswick, E4N 3B4",,,,1.98,"
            Residential
        ",34900
"48 Augustus St, Saint Andrews, New Brunswick",3,2,1778,0.294,"
            Residential
        ",449000
"83 Don-De Dieu Dr, Bayside, New Brunswick",,,,1.0,"
            Residential
        ",149000
"38 Ernest St, Saint Andrews, New Brunswick",4,3,4362,,"
            Residential
        ",699000
"45 Argyle Court, Saint Andrews, New Brunswick",,,,0.219,"
            Residential
        ",64997
"34 Maggie Lane, Miramichi, New Brunswick, E1V 6E4",4,3,1249,1.0,"
            Residential
        ",189900
"133 Daigle Rd., Pointe - Sapin, New Brunswick",4,2,2168,0.99,"
            Residential
        ",169900
"13 Bulmer Lane, Sackville, NB, Sackville, New Brunswick, E4L 3R3",3,1,1214,0.4,"
            Residential
        ",134900
"117 Anne's Acres, Bayfield, NB, Murray Corner, New Brunswick",4,3,2691,1.005,"
            Residential
        ",259900
"45 Argyle Court, Saint Andrews, New Brunswick",,,,0.219,"
            Residential
        ",64997
"38 Ernest St, Saint Andrews, New Brunswick",4,3,4362,,"
            Residential
        ",699000
"41 Eagle's Passage, Greater Saint Andrews, New Brunswick",3,3,2160,1.0,"
            Residential
        ",794997
"3574 Route 127, Saint Andrews, New Brunswick",,,,11.0,"
            Residential
        ",110000
"626 Royal Oaks Boulevard, Moncton, New Brunswick, E1H 3S7",2,2,1232,0.134,"
            Residential
        ",263900
"Single Family for sale in 66 Neville Street, Fredericton, New Brunswick, E3A4Z5",3,2,2750,,"
            Single Family
        ",239900
"Single Family for sale in 21 Chalets LANE, Richibucto, New Brunswick",2,1,768,,"
            Single Family
        ",224995
"Single Family for sale in - Russiantown Road, Greater Elgin, New Brunswick",2,1,576,,"
            Single Family
        ",104500
"Single Family for sale in 103 Canaan Drive, Rusagonis - Waasis, New Brunswick",3,3,2272,,"
            Single Family
        ",279900
"Single Family for sale in 26 Brickyard Road, Lepreau, New Brunswick",4,2,,,"
            Single Family
        ",125000
"Single Family for sale in 40 Damien Unit 2, Dieppe, New Brunswick, E1A7T2",2,1,935,,"
            Single Family
        ",101500
"Single Family for sale in 60 T J McMackin, Greater Salisbury, New Brunswick",1,1,720,,"
            Single Family
        ",86900
"Single Family for sale in 298 French Lake Road, French Lake, New Brunswick",3,2,1245,,"
            Single Family
        ",94900
"Vacant Land for sale in 469 Belleisle Shore Road, Kars, New Brunswick",,,,,"
            Vacant Land
        ",169900
"Single Family for sale in 181 Route 776, Grand Manan, New Brunswick, E5G1A4",3,2,,,"
            Single Family
        ",179900
"Single Family for sale in 421 Ryan RD, Moncton, New Brunswick, E1C2W2",3,2,1350,,"
            Single Family
        ",189900
"Single Family for sale in 224 Chapman Road, Newcastle Centre, New Brunswick",3,2,,,"
            Single Family
        ",269900
"Single Family for sale in 351 Beausejour, Dieppe, New Brunswick, E1A1Y6",2,1,1176,,"
            Single Family
        ",139900
"Single Family for sale in 43 Camden CRES, Moncton, New Brunswick, E1E4S6",2,3,1720,,"
            Single Family
        ",364900
"153 Chatellerault - Spring 2021, Shediac, New Brunswick, E4P 0L2",2,2,1560,,"
            Residential
        ",285000
"Single Family for sale in 305 Hampton Road, Quispamsis, New Brunswick, E2M4M9",4,2,,0.294,"
            Single Family
        ",264900
"Single Family for sale in 15 Tiffany AVE, Bouctouche, New Brunswick, E4S3X2",3,2,572,,"
            Single Family
        ",115000
"Single Family for sale in 15 Laity DR, Upper Coverdale/Turtle Creek, New Brunswick",3,5,4200,,"
            Single Family
        ",799000
"Single Family for sale in 167 Hillcrest Drive, Island View Heights, New Brunswick",3,2,,0.215,"
            Single Family
        ",189900
